"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\Make_movie.py", "Python", 138, 0, 16, 44, 198
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Constants.py", "Python", 63, 0, 12, 16, 91
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Functions.py", "Python", 120, 0, 6, 54, 180
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_Simulation.py", "Python", 135, 0, 3, 37, 175
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\One_D_sim_function.py", "Python", 59, 0, 8, 13, 80
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\data_processing.py", "Python", 127, 0, 8, 43, 178
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\plot_data.py", "Python", 324, 0, 71, 59, 454
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\plotting_functions.py", "Python", 90, 0, 3, 29, 122
"c:\Users\adams\Documents\GitHub\Masters-Project-BioPhysics\One_Dimensional_solution\requirements.txt", "pip requirements", 0, 16, 0, 1, 17
"Total", "-", 1056, 16, 127, 296, 1495
